Safety_zonee_signal,N_d,psi_0 ,x_0,X_d,y_0,Y_d,u_hat,u_real  ,Absolute Time
1.000000,0.000000,0.000000,0.000000,0.723695,0.000000,0.000000,0.279158,0.278295,3571750039.852833
1.000000,0.000000,0.000000,0.000000,0.723695,0.000000,0.000000,0.279447,0.278585,3571750039.862831
1.000000,0.000000,0.000000,0.000000,0.723695,0.000000,0.000000,0.279736,0.278875,3571750039.872831
1.000000,0.000000,0.000000,0.000000,0.723695,0.000000,0.000000,0.280025,0.279164,3571750039.882835
1.000000,0.000000,0.000000,0.000000,0.723695,0.000000,0.000000,0.280314,0.279454,3571750039.892823
1.000000,0.000000,0.000000,0.000000,0.723695,0.000000,0.000000,0.280602,0.279743,3571750039.902833
1.000000,0.000000,0.000000,0.000000,0.723695,0.000000,0.000000,0.280890,0.280032,3571750039.912833
1.000000,0.000000,0.000000,0.000000,0.723695,0.000000,0.000000,0.281178,0.280320,3571750039.922832
1.000000,0.000000,0.000000,0.000000,0.723695,0.000000,0.000000,0.281466,0.280609,3571750039.932831
1.000000,0.000000,0.000000,0.000000,0.723695,0.000000,0.000000,0.281753,0.280897,3571750039.942831
1.000000,0.000000,0.000000,0.000000,0.723695,0.000000,0.000000,0.282041,0.281185,3571750039.952831
1.000000,0.000000,0.000000,0.000000,0.723695,0.000000,0.000000,0.282328,0.281472,3571750039.962831
1.000000,0.000000,0.000000,0.000000,0.713071,0.000000,0.000000,0.282614,0.281760,3571750039.972832
1.000000,0.000000,0.000000,0.000000,0.713071,0.000000,0.000000,0.282895,0.282047,3571750039.982831
1.000000,0.000000,0.000000,0.000000,0.670603,0.000000,0.000000,0.283175,0.282334,3571750039.992823
1.000000,0.000000,0.000000,0.000000,0.670603,0.000000,0.000000,0.283429,0.282621,3571750040.002833
1.000000,0.000000,0.000000,0.000000,0.585637,0.000000,0.000000,0.283683,0.282901,3571750040.012831
1.000000,0.000000,0.000000,0.000000,0.585637,0.000000,0.000000,0.283887,0.283181,3571750040.022831
1.000000,0.000000,0.000000,0.000000,0.511327,0.000000,0.000000,0.284090,0.283435,3571750040.032831
1.000000,0.000000,0.000000,0.000000,0.511327,0.000000,0.000000,0.284249,0.283690,3571750040.042830
1.000000,0.000000,0.000000,0.000000,0.436985,0.000000,0.000000,0.284408,0.283893,3571750040.052831
1.000000,0.000000,0.000000,0.000000,0.436985,0.000000,0.000000,0.284522,0.284096,3571750040.062831
1.000000,0.000000,0.000000,0.000000,0.436985,0.000000,0.000000,0.284636,0.284255,3571750040.072832
1.000000,0.000000,0.000000,0.000000,0.182118,0.000000,0.000000,0.284750,0.284414,3571750040.082832
1.000000,0.000000,0.000000,0.000000,0.182118,0.000000,0.000000,0.284713,0.284528,3571750040.092828
1.000000,0.000000,0.000000,0.000000,0.182118,0.000000,0.000000,0.284675,0.284643,3571750040.102833
1.000000,0.000000,0.000000,0.000000,-0.284757,0.000000,0.000000,0.284638,0.284757,3571750040.112832
1.000000,0.000000,0.000000,0.000000,-0.284719,0.000000,0.000000,0.284492,0.284719,3571750040.122830
1.000000,0.000000,0.000000,0.000000,-0.284682,0.000000,0.000000,0.284346,0.284682,3571750040.132834
1.000000,0.000000,0.000000,0.000000,-0.284644,0.000000,0.000000,0.284200,0.284644,3571750040.142830
1.000000,0.000000,0.000000,0.000000,-0.284328,0.000000,0.000000,0.284054,0.284328,3571750040.152832
1.000000,0.000000,0.000000,0.000000,-0.284013,0.000000,0.000000,0.283909,0.284013,3571750040.162831
1.000000,0.000000,0.000000,0.000000,-0.283698,0.000000,0.000000,0.283764,0.283698,3571750040.172831
1.000000,0.000000,0.000000,0.000000,-0.283384,0.000000,0.000000,0.283618,0.283384,3571750040.182832
1.000000,0.000000,0.000000,0.000000,-0.283069,0.000000,0.000000,0.283473,0.283069,3571750040.192830
1.000000,0.000000,0.000000,0.000000,-0.282756,0.000000,0.000000,0.283328,0.282756,3571750040.202833
1.000000,0.000000,0.000000,0.000000,-0.282442,0.000000,0.000000,0.283183,0.282442,3571750040.212833
1.000000,0.000000,0.000000,0.000000,-0.282129,0.000000,0.000000,0.283038,0.282129,3571750040.222831
1.000000,0.000000,0.000000,0.000000,-0.281817,0.000000,0.000000,0.282894,0.281817,3571750040.232831
1.000000,0.000000,0.000000,0.000000,-0.281505,0.000000,0.000000,0.282749,0.281505,3571750040.242831
1.000000,0.000000,0.000000,0.000000,-0.281193,0.000000,0.000000,0.282605,0.281193,3571750040.252832
1.000000,0.000000,0.000000,0.000000,-0.280882,0.000000,0.000000,0.282460,0.280882,3571750040.262832
1.000000,0.000000,0.000000,0.000000,-0.280571,0.000000,0.000000,0.282316,0.280571,3571750040.272832
1.000000,0.000000,0.000000,0.000000,-0.280261,0.000000,0.000000,0.282172,0.280261,3571750040.282831
1.000000,0.000000,0.000000,0.000000,-0.279951,0.000000,0.000000,0.282028,0.279951,3571750040.292823
1.000000,0.000000,0.000000,0.000000,-0.279642,0.000000,0.000000,0.281884,0.279642,3571750040.302833
1.000000,0.000000,0.000000,0.000000,-0.279333,0.000000,0.000000,0.281740,0.279333,3571750040.312830
1.000000,0.000000,0.000000,0.000000,-0.279024,0.000000,0.000000,0.281597,0.279024,3571750040.322831
1.000000,0.000000,0.000000,0.000000,-0.278716,0.000000,0.000000,0.281453,0.278716,3571750040.332832
1.000000,0.000000,0.000000,0.000000,-0.278409,0.000000,0.000000,0.281310,0.278409,3571750040.342831
1.000000,0.000000,0.000000,0.000000,-0.278101,0.000000,0.000000,0.281167,0.278101,3571750040.352831
1.000000,0.000000,0.000000,0.000000,-0.277795,0.000000,0.000000,0.281023,0.277795,3571750040.362832
1.000000,0.000000,0.000000,0.000000,-0.277488,0.000000,0.000000,0.280880,0.277488,3571750040.372832
1.000000,0.000000,0.000000,0.000000,-0.277182,0.000000,0.000000,0.280737,0.277182,3571750040.382835
1.000000,0.000000,0.000000,0.000000,-0.276877,0.000000,0.000000,0.280595,0.276877,3571750040.392828
1.000000,0.000000,0.000000,0.000000,-0.276572,0.000000,0.000000,0.280452,0.276572,3571750040.402833
1.000000,0.000000,0.000000,0.000000,-0.276267,0.000000,0.000000,0.280309,0.276267,3571750040.412832
