Dropout_signaOUT,N_d,psi_0 ,x_0,X_d,y_0,Y_d,u_hat1,u_hat,u_real  ,Absolute Time
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.038044,0.000000,3571745751.786830
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,0.038044,0.000000,3571745751.796829
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.089375,0.000000,3571745751.806828
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.025403,0.000000,3571745751.816828
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,-0.025403,0.000000,3571745751.826827
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.026872,0.000000,3571745751.836828
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,0.026872,0.000000,3571745751.846829
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.022572,0.000000,3571745751.856830
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,-0.022572,0.000000,3571745751.866828
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.093336,0.000000,3571745751.876828
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,-0.093336,0.000000,3571745751.886828
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,-0.093336,0.000000,3571745751.896828
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,-0.093336,0.000000,3571745751.906829
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.045204,0.000000,3571745751.916830
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.002550,0.000000,3571745751.926828
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.061233,0.000000,3571745751.936829
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.046474,0.000000,3571745751.946827
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,0.046474,0.000000,3571745751.956828
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.062596,0.000000,3571745751.966830
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,-0.062596,0.000000,3571745751.976829
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,-0.062596,0.000000,3571745751.986829
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,-0.062596,0.000000,3571745751.996828
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.036438,0.000000,3571745752.006826
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,-0.036438,0.000000,3571745752.016831
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.014332,0.000000,3571745752.026829
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,0.014332,0.000000,3571745752.036829
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.001474,0.000000,3571745752.046827
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,0.001474,0.000000,3571745752.056828
